Quận,Loại,Diện tích (m²),Mức giá (tỷ),Số phòng ngủ,Số toilet
Cầu Giấy,Căn hộ chung cư,116.0,8.4,3,2
Nam Từ Liêm,Căn hộ chung cư,84.0,5.4,3,2
Hai Bà Trưng,Căn hộ chung cư,52.0,2.85,1,1
Hà Đông,Căn hộ chung cư,55.0,2.4,2,2
Hà Đông,Căn hộ chung cư,96.0,3.3,2,2
Nam Từ Liêm,Căn hộ chung cư,105.0,5.2,3,2
Hai Bà Trưng,Nhà riêng,85.0,18.5,4,4
Cầu Giấy,Căn hộ chung cư,98.0,5.46,2,2
Đống Đa,Nhà riêng,52.0,8.7,5,5
Long Biên,Căn hộ chung cư,73.0,3.3,2,2
Hoài Đức,Căn hộ chung cư,88.0,4.22,2,2
Long Biên,Nhà riêng,32.0,4.0,2,3
Hà Đông,Nhà riêng,60.0,7.3,4,4
Cầu Giấy,Nhà riêng,110.0,21.9,30,30
Hoàng Mai,Căn hộ chung cư,76.0,3.4,3,2
Hoàn Kiếm,Nhà riêng,42.0,5.1,6,5
Nam Từ Liêm,Căn hộ chung cư,104.0,7.6,3,2
Đống Đa,Nhà riêng,55.0,9.35,5,6
Hai Bà Trưng,Nhà riêng,75.0,8.8,4,3
Cầu Giấy,Nhà riêng,48.0,7.4,4,3
Long Biên,Nhà riêng,43.0,3.86,3,4
Cầu Giấy,Nhà riêng,65.0,14.0,5,4
Hoài Đức,Căn hộ chung cư,136.0,7.19,4,3
Gia Lâm,Căn hộ chung cư,43.0,1.8,2,1
Hà Đông,Căn hộ chung cư,102.0,5.3,2,2
Thanh Xuân,Căn hộ chung cư,94.0,7.1,3,2
Cầu Giấy,Nhà riêng,70.0,25.0,5,8
Cầu Giấy,Nhà mặt phố,85.0,24.8,5,5
Nam Từ Liêm,Căn hộ chung cư,64.0,3.3,2,2
Tây Hồ,Nhà mặt phố,55.0,18.5,6,4
Long Biên,Nhà riêng,81.0,10.0,4,5
Long Biên,Nhà riêng,45.0,5.95,3,4
