Quận,Loại,Diện tích (m²),Mức giá (tỷ),Số phòng ngủ,Số toilet
Thanh Xuân,Căn hộ chung cư,77.0,4.1,2,2
Thanh Xuân,Nhà mặt phố,22.0,4.4,3,2
Hoàng Mai,Căn hộ chung cư,78.0,4.15,2,2
Cầu Giấy,Nhà riêng,70.0,16.5,17,17
Hoàng Mai,Nhà riêng,42.0,11.0,2,3
Tây Hồ,Nhà riêng,60.0,16.8,8,5
Hoài Đức,Nhà riêng,114.0,7.41,3,4
Hà Đông,Nhà mặt phố,105.0,30.9,5,4
Cầu Giấy,Căn hộ chung cư,128.0,9.7,3,2
Hoàng Mai,Nhà riêng,30.0,3.68,3,4
Thanh Xuân,Căn hộ chung cư,61.0,3.3,2,2
Nam Từ Liêm,Căn hộ chung cư,74.0,3.75,2,2
Hoàng Mai,Căn hộ chung cư,83.0,2.79,2,1
Thanh Xuân,Căn hộ chung cư,132.0,7.0,3,2
Hoàng Mai,Nhà riêng,73.0,7.9,4,3
Thanh Trì,Căn hộ chung cư,82.0,3.16,2,2
Nam Từ Liêm,Căn hộ chung cư,128.0,5.7,3,2
Bắc Từ Liêm,Căn hộ chung cư,139.0,7.88,4,3
Thanh Xuân,Nhà riêng,42.0,5.8,3,2
Cầu Giấy,Căn hộ chung cư,110.0,5.3,3,2
Nam Từ Liêm,Nhà riêng,58.0,9.89,11,11
Hà Đông,Căn hộ chung cư,75.0,2.28,2,2
Cầu Giấy,Căn hộ chung cư,76.0,4.35,2,2
Thanh Xuân,Căn hộ chung cư,93.0,6.9,3,2
Cầu Giấy,Căn hộ chung cư,109.0,4.5,3,2
Hà Đông,Căn hộ chung cư,154.0,6.5,3,2
Long Biên,Căn hộ chung cư,101.0,4.14,3,2
Cầu Giấy,Nhà riêng,48.0,12.5,4,3
Hai Bà Trưng,Căn hộ chung cư,119.0,6.6,3,2
Hai Bà Trưng,Căn hộ chung cư,142.0,10.5,4,3
Hai Bà Trưng,Căn hộ chung cư,83.0,4.2,2,2
Cầu Giấy,Căn hộ chung cư,300.0,25.0,4,5
Long Biên,Căn hộ chung cư,72.0,3.65,2,2
Thanh Xuân,Nhà riêng,58.0,7.45,6,4
Hoài Đức,Căn hộ chung cư,138.0,5.6,3,3
Thanh Xuân,Căn hộ chung cư,107.0,6.3,3,2
Bắc Từ Liêm,Căn hộ chung cư,172.0,6.8,3,2
Hà Đông,Căn hộ chung cư,65.0,2.9,2,2
Tây Hồ,Căn hộ chung cư,123.0,5.0,3,2
Gia Lâm,Căn hộ chung cư,66.0,3.14,2,2
Bắc Từ Liêm,Căn hộ chung cư,267.0,19.5,4,4
Đống Đa,Nhà riêng,65.0,16.5,6,4
Hai Bà Trưng,Nhà mặt phố,38.0,17.5,3,5
Tây Hồ,Căn hộ chung cư,39.0,3.6,1,1
Hà Đông,Căn hộ chung cư,54.0,2.04,2,1
Đống Đa,Nhà riêng,58.0,16.5,6,4
Bắc Từ Liêm,Nhà riêng,36.0,3.8,2,3
Long Biên,Nhà mặt phố,61.0,9.9,3,5
Tây Hồ,Nhà riêng,43.0,11.6,4,4
Cầu Giấy,Căn hộ chung cư,92.0,8.3,2,2
Bắc Từ Liêm,Căn hộ chung cư,72.0,3.48,2,2
Cầu Giấy,Căn hộ chung cư,60.0,3.1,3,2
Hà Đông,Căn hộ chung cư,56.0,2.29,2,1
Ba Đình,Nhà mặt phố,140.0,42.0,6,6
Thanh Xuân,Căn hộ chung cư,125.0,8.0,3,2
Gia Lâm,Căn hộ chung cư,63.0,3.68,2,2
Thanh Xuân,Căn hộ chung cư,108.0,6.2,3,2
Ba Đình,Căn hộ chung cư,100.0,3.15,4,2
Đống Đa,Nhà riêng,45.0,8.3,6,5
Hà Đông,Nhà mặt phố,70.0,14.8,1,1
Hoàng Mai,Nhà riêng,51.0,5.7,4,3
Cầu Giấy,Căn hộ chung cư,133.0,8.5,3,2
Cầu Giấy,Nhà riêng,148.0,39.99,4,4
Hai Bà Trưng,Căn hộ chung cư,73.0,5.35,2,2
Bắc Từ Liêm,Căn hộ chung cư,83.0,4.35,2,2
Hoài Đức,Căn hộ chung cư,178.0,7.3,4,3
Hoài Đức,Căn hộ chung cư,88.0,4.1,2,2
Hai Bà Trưng,Căn hộ chung cư,90.0,5.5,2,2
Hà Đông,Nhà mặt phố,93.0,25.0,6,6
Thanh Xuân,Nhà riêng,62.0,9.4,5,4
Nam Từ Liêm,Nhà riêng,30.0,3.45,1,1
Thanh Xuân,Nhà riêng,70.0,14.6,8,8
Hoàng Mai,Nhà riêng,39.0,4.5,3,4
Thanh Xuân,Nhà riêng,60.0,7.9,3,4
Tây Hồ,Nhà riêng,33.0,5.8,3,5
Hai Bà Trưng,Nhà mặt phố,50.0,6.8,2,3
Thanh Xuân,Nhà riêng,50.0,7.5,4,3
Đống Đa,Nhà riêng,32.0,7.65,5,4
Hà Đông,Căn hộ chung cư,80.0,3.4,2,2
Nam Từ Liêm,Căn hộ chung cư,131.0,5.05,3,2
Bắc Từ Liêm,Căn hộ chung cư,41.0,2.7,1,1
Nam Từ Liêm,Căn hộ chung cư,55.0,2.8,2,2
Ba Đình,Căn hộ chung cư,95.0,4.85,3,2
Bắc Từ Liêm,Nhà riêng,125.0,15.5,26,26
Tây Hồ,Nhà riêng,306.0,30.5,6,6
Hoài Đức,Nhà mặt phố,83.0,13.4,6,3
Tây Hồ,Căn hộ chung cư,150.0,8.7,4,3
Tây Hồ,Nhà riêng,54.0,10.5,11,11
Cầu Giấy,Căn hộ chung cư,125.0,5.4,3,2
Nam Từ Liêm,Căn hộ chung cư,89.0,6.2,2,2
Tây Hồ,Nhà mặt phố,61.0,24.0,1,1
Nam Từ Liêm,Căn hộ chung cư,73.0,5.3,2,2
Thanh Xuân,Nhà mặt phố,70.0,21.0,5,50
Hoàng Mai,Căn hộ chung cư,80.0,3.5,2,2
Đống Đa,Căn hộ chung cư,80.0,7.5,2,1
Hoàng Mai,Căn hộ chung cư,73.0,2.68,3,2
Hà Đông,Nhà riêng,33.0,3.3,2,1
Nam Từ Liêm,Căn hộ chung cư,159.0,8.0,4,3
Hai Bà Trưng,Căn hộ chung cư,140.0,18.0,3,3
Nam Từ Liêm,Nhà riêng,35.0,5.3,3,4
Hà Đông,Nhà riêng,30.0,4.0,2,3
Gia Lâm,Nhà mặt phố,67.0,6.0,3,2
Hà Đông,Căn hộ chung cư,48.0,1.9,2,1
Đống Đa,Nhà mặt phố,95.0,27.0,12,12
Đống Đa,Nhà riêng,85.0,25.2,19,19
Thanh Xuân,Nhà riêng,43.0,11.5,4,5
Ba Đình,Căn hộ chung cư,120.0,12.0,3,2
Tây Hồ,Căn hộ chung cư,146.0,9.5,3,2
Tây Hồ,Căn hộ chung cư,110.0,8.0,3,3
Hà Đông,Căn hộ chung cư,48.0,1.99,2,1
Tây Hồ,Căn hộ chung cư,146.0,15.48,3,2
Ba Đình,Nhà mặt phố,72.0,39.9,18,18
Ba Đình,Căn hộ chung cư,170.0,15.0,4,4
Long Biên,Căn hộ chung cư,120.0,6.0,3,2
Hoàng Mai,Nhà riêng,46.0,4.7,3,3
Tây Hồ,Căn hộ chung cư,59.0,4.55,2,1
Hà Đông,Căn hộ chung cư,75.0,2.79,2,2
Hai Bà Trưng,Nhà riêng,45.0,13.0,4,4
Hoàng Mai,Căn hộ chung cư,70.0,1.8,2,2
Hà Đông,Căn hộ chung cư,74.0,3.1,2,2
Thanh Oai,Nhà riêng,64.0,4.2,4,3
Cầu Giấy,Căn hộ chung cư,151.0,7.5,3,2
Thanh Trì,Căn hộ chung cư,45.0,1.38,2,1
Long Biên,Căn hộ chung cư,83.0,3.8,2,2
Long Biên,Căn hộ chung cư,105.0,5.0,3,2
Nam Từ Liêm,Căn hộ chung cư,129.0,6.5,3,2
Thanh Xuân,Căn hộ chung cư,99.0,3.8,2,2
Hà Đông,Căn hộ chung cư,78.0,4.6,2,2
Thanh Trì,Căn hộ chung cư,80.0,2.8,3,2
Cầu Giấy,Căn hộ chung cư,150.0,6.6,3,3
Hoàng Mai,Nhà riêng,56.0,5.25,4,4
Nam Từ Liêm,Căn hộ chung cư,87.0,6.0,2,2
Đống Đa,Nhà riêng,47.0,9.0,9,9
Nam Từ Liêm,Căn hộ chung cư,86.0,3.4,2,2
Nam Từ Liêm,Căn hộ chung cư,76.0,4.75,2,2
Nam Từ Liêm,Nhà riêng,41.0,6.8,6,3
Cầu Giấy,Căn hộ chung cư,112.0,6.2,3,2
Nam Từ Liêm,Căn hộ chung cư,86.0,5.25,3,2
Đống Đa,Nhà riêng,44.0,13.9,5,5
Nam Từ Liêm,Căn hộ chung cư,70.0,5.0,2,2
Đống Đa,Nhà riêng,80.0,23.0,9,6
Hà Đông,Nhà riêng,32.0,4.45,4,4
Đống Đa,Nhà riêng,32.0,4.7,4,3
Hà Đông,Căn hộ chung cư,95.0,4.75,3,2
Thanh Xuân,Căn hộ chung cư,95.0,5.2,3,2
Thanh Xuân,Căn hộ chung cư,102.0,4.48,3,2
Thanh Trì,Nhà riêng,77.0,6.13,1,1
Cầu Giấy,Nhà riêng,92.0,17.5,21,21
Hà Đông,Nhà riêng,50.0,8.48,4,4
Hai Bà Trưng,Căn hộ chung cư,130.0,10.7,4,3
Nam Từ Liêm,Căn hộ chung cư,90.0,4.7,3,2
Đống Đa,Nhà riêng,31.0,4.7,4,3
Hà Đông,Nhà riêng,60.0,4.3,5,3
Cầu Giấy,Căn hộ chung cư,132.0,5.9,3,2
Cầu Giấy,Nhà riêng,50.0,21.5,6,4
Hai Bà Trưng,Căn hộ chung cư,109.0,6.8,3,2
Thanh Xuân,Nhà mặt phố,84.0,33.0,3,3
Cầu Giấy,Nhà riêng,95.0,19.3,20,20
Cầu Giấy,Nhà riêng,100.0,24.0,7,7
Cầu Giấy,Căn hộ chung cư,116.0,6.7,3,2
Đống Đa,Nhà riêng,38.0,6.0,5,5
Long Biên,Căn hộ chung cư,120.0,4.95,3,2
Cầu Giấy,Căn hộ chung cư,97.0,6.0,2,2
Đống Đa,Nhà riêng,49.0,7.7,10,10
Hà Đông,Căn hộ chung cư,70.0,2.19,2,2
Bắc Từ Liêm,Căn hộ chung cư,112.0,5.35,3,2
Hà Đông,Căn hộ chung cư,124.0,5.5,3,2
Hoài Đức,Căn hộ chung cư,99.0,4.75,3,2
Đan Phượng,Căn hộ chung cư,65.0,2.6,2,2
Đống Đa,Nhà riêng,42.0,11.5,4,3
Thanh Trì,Nhà riêng,47.0,5.0,4,2
Bắc Từ Liêm,Nhà mặt phố,179.0,38.9,20,20
Bắc Từ Liêm,Nhà mặt phố,130.0,39.5,50,50
Cầu Giấy,Nhà riêng,76.0,24.8,10,7
Hà Đông,Nhà riêng,31.0,3.4,3,3
Cầu Giấy,Nhà riêng,55.0,11.5,4,4
Gia Lâm,Căn hộ chung cư,56.0,2.17,2,1
Tây Hồ,Nhà riêng,50.0,7.8,3,4
Tây Hồ,Nhà mặt phố,51.0,24.5,6,5
Đống Đa,Căn hộ chung cư,86.0,5.2,2,2
Thanh Xuân,Căn hộ chung cư,70.0,4.2,2,2
Cầu Giấy,Căn hộ chung cư,70.0,3.5,2,2
Đống Đa,Căn hộ chung cư,119.0,8.2,3,2
Thanh Xuân,Căn hộ chung cư,117.0,6.8,3,2
Hoàng Mai,Nhà riêng,100.0,3.1,1,1
Ba Đình,Nhà riêng,48.0,3.8,2,2
Ba Đình,Căn hộ chung cư,58.0,4.9,1,1
Nam Từ Liêm,Nhà riêng,30.0,5.4,4,4
Ba Đình,Căn hộ chung cư,130.0,13.9,3,2
Cầu Giấy,Nhà riêng,62.0,11.4,5,3
Hà Đông,Nhà riêng,37.0,3.7,6,4
Hoàng Mai,Căn hộ chung cư,89.0,3.65,3,2
Cầu Giấy,Nhà mặt phố,65.0,37.9,1,1
Tây Hồ,Nhà mặt phố,85.0,73.0,7,7
Tây Hồ,Nhà mặt phố,75.0,25.5,6,7
Thanh Trì,Nhà riêng,60.0,10.0,18,19
Cầu Giấy,Nhà riêng,42.0,10.8,6,3
Ba Đình,Nhà riêng,48.0,3.8,2,2
Nam Từ Liêm,Căn hộ chung cư,119.0,3.9,3,2
Bắc Từ Liêm,Căn hộ chung cư,95.0,6.6,2,2
Bắc Từ Liêm,Căn hộ chung cư,103.0,5.5,3,2
Hoàn Kiếm,Nhà mặt phố,127.0,45.0,5,5
Hà Đông,Căn hộ chung cư,58.0,2.6,2,1
Hà Đông,Nhà riêng,35.0,1.75,3,2
Nam Từ Liêm,Căn hộ chung cư,64.0,4.23,2,2
Hai Bà Trưng,Nhà mặt phố,46.0,30.0,6,6
Hai Bà Trưng,Căn hộ chung cư,75.0,4.85,2,2
Nam Từ Liêm,Căn hộ chung cư,60.0,4.19,2,2
Nam Từ Liêm,Căn hộ chung cư,88.0,3.99,2,2
Hai Bà Trưng,Nhà mặt phố,46.0,30.0,6,6
Hai Bà Trưng,Nhà mặt phố,46.0,30.0,6,6
Long Biên,Căn hộ chung cư,120.0,6.6,3,2
Bắc Từ Liêm,Căn hộ chung cư,86.0,6.2,2,2
Long Biên,Nhà riêng,50.0,11.5,6,5
Cầu Giấy,Nhà riêng,66.0,12.7,5,3
Đống Đa,Nhà mặt phố,30.0,12.8,4,5
Đống Đa,Căn hộ chung cư,107.0,6.85,3,2
Hà Đông,Căn hộ chung cư,65.0,1.7,2,2
Hà Đông,Nhà riêng,44.0,3.85,6,4
Đống Đa,Nhà riêng,28.0,4.85,3,3
Gia Lâm,Căn hộ chung cư,26.0,1.39,1,1
Quốc Oai,Nhà riêng,70.0,3.0,4,4
Tây Hồ,Nhà riêng,90.0,12.6,3,3
Hà Đông,Nhà riêng,48.0,7.95,2,1
Gia Lâm,Căn hộ chung cư,60.0,2.1,2,1
Gia Lâm,Căn hộ chung cư,47.0,1.6,1,1
Cầu Giấy,Căn hộ chung cư,76.0,3.75,2,1
Long Biên,Nhà riêng,41.0,8.25,3,4
Hoàng Mai,Nhà mặt phố,299.0,79.0,4,4
Ba Đình,Nhà riêng,70.0,9.3,7,7
Cầu Giấy,Nhà mặt phố,50.0,11.55,4,3
Gia Lâm,Căn hộ chung cư,80.0,2.95,3,2
Hoàng Mai,Nhà riêng,35.0,5.4,3,4
Gia Lâm,Nhà riêng,89.0,3.7,4,4
Thường Tín,Nhà riêng,120.0,9.6,4,3
Đống Đa,Căn hộ chung cư,75.0,3.78,3,2
Hoàng Mai,Căn hộ chung cư,95.0,3.98,3,2
Cầu Giấy,Căn hộ chung cư,100.0,4.5,3,2
Hà Đông,Căn hộ chung cư,96.0,4.05,3,2
Cầu Giấy,Căn hộ chung cư,65.0,2.85,2,2
Cầu Giấy,Nhà riêng,80.0,13.17,4,4
Hoàng Mai,Căn hộ chung cư,70.0,3.55,2,2
Hoài Đức,Căn hộ chung cư,95.0,4.0,3,2
Ba Đình,Nhà riêng,40.0,7.9,4,5
Ba Đình,Nhà riêng,23.0,7.22,2,3
Long Biên,Nhà mặt phố,130.0,50.0,8,8
Nam Từ Liêm,Nhà riêng,59.0,8.2,11,11
Hoàng Mai,Căn hộ chung cư,100.0,4.3,3,2
Nam Từ Liêm,Căn hộ chung cư,108.0,3.5,3,2
Bắc Từ Liêm,Căn hộ chung cư,104.0,4.3,3,2
Cầu Giấy,Căn hộ chung cư,127.0,7.0,3,2
Đống Đa,Nhà riêng,28.0,4.85,3,3
Hoàn Kiếm,Nhà riêng,163.0,1.2,6,3
Hoàng Mai,Nhà riêng,180.0,32.5,42,42
Bắc Từ Liêm,Căn hộ chung cư,98.0,5.3,3,2
Cầu Giấy,Căn hộ chung cư,92.0,4.8,2,2
Hoàng Mai,Nhà mặt phố,52.0,10.8,4,3
Cầu Giấy,Nhà riêng,80.0,17.9,5,4
Hà Đông,Căn hộ chung cư,58.0,1.95,2,1
Hai Bà Trưng,Căn hộ chung cư,110.0,7.7,3,2
Hoàn Kiếm,Căn hộ chung cư,151.0,85.0,3,3
Hoàng Mai,Nhà riêng,44.0,7.7,5,4
Thanh Xuân,Căn hộ chung cư,112.0,6.1,3,2
Hai Bà Trưng,Nhà riêng,30.0,5.0,12,12
Đống Đa,Căn hộ chung cư,77.0,4.0,3,2
Cầu Giấy,Căn hộ chung cư,140.0,9.5,3,2
Hà Đông,Căn hộ chung cư,98.0,3.0,3,2
Tây Hồ,Căn hộ chung cư,25.0,650.0,1,1
Ba Đình,Nhà riêng,57.0,17.8,2,3
Thanh Xuân,Căn hộ chung cư,147.0,10.5,4,2
Đống Đa,Nhà riêng,45.0,8.5,4,5
Thanh Xuân,Căn hộ chung cư,60.0,3.5,2,2
Thanh Xuân,Căn hộ chung cư,78.0,3.55,2,2
Thanh Xuân,Căn hộ chung cư,117.0,5.0,3,2
Hoàng Mai,Nhà riêng,30.0,4.4,3,4
Long Biên,Nhà riêng,47.0,3.9,3,3
Cầu Giấy,Căn hộ chung cư,120.0,8.0,3,2
Cầu Giấy,Căn hộ chung cư,58.0,3.65,2,1
Nam Từ Liêm,Nhà riêng,50.0,8.2,6,7
Đống Đa,Nhà mặt phố,110.0,40.5,4,4
Cầu Giấy,Căn hộ chung cư,70.0,3.1,2,2
Long Biên,Căn hộ chung cư,72.0,3.0,2,2
Hoàng Mai,Nhà mặt phố,38.0,8.2,3,5
Hai Bà Trưng,Nhà riêng,32.0,7.86,3,3
Hà Đông,Nhà riêng,40.0,4.45,7,4
Cầu Giấy,Căn hộ chung cư,100.0,6.0,3,2
Cầu Giấy,Căn hộ chung cư,149.0,6.0,3,2
Cầu Giấy,Căn hộ chung cư,71.0,4.3,2,2
Gia Lâm,Căn hộ chung cư,46.0,2.69,1,1
Thanh Xuân,Căn hộ chung cư,127.0,6.0,3,3
Cầu Giấy,Căn hộ chung cư,120.0,7.5,3,2
Nam Từ Liêm,Căn hộ chung cư,193.0,11.5,3,2
Đống Đa,Căn hộ chung cư,120.0,7.0,3,2
Hai Bà Trưng,Nhà riêng,60.0,6.72,9,9
Cầu Giấy,Căn hộ chung cư,95.0,5.15,2,2
Đống Đa,Căn hộ chung cư,199.0,10.9,3,2
Cầu Giấy,Căn hộ chung cư,98.0,5.2,2,2
Hoàng Mai,Nhà riêng,45.0,4.1,2,1
Cầu Giấy,Căn hộ chung cư,91.0,4.6,2,2
Thanh Xuân,Căn hộ chung cư,55.0,3.4,2,2
Đống Đa,Căn hộ chung cư,97.0,5.05,2,2
Hoàng Mai,Nhà riêng,15.0,1.85,2,3
Nam Từ Liêm,Nhà riêng,40.0,7.3,5,4
Cầu Giấy,Căn hộ chung cư,200.0,11.99,4,3
Cầu Giấy,Căn hộ chung cư,128.0,8.5,3,2
Nam Từ Liêm,Nhà riêng,110.0,18.2,26,26
Long Biên,Nhà riêng,60.0,10.5,3,3
Hà Đông,Nhà riêng,32.0,2.59,3,3
Hoàng Mai,Căn hộ chung cư,77.0,2.4,3,2
Gia Lâm,Căn hộ chung cư,67.0,3.27,2,2
Ba Đình,Nhà riêng,45.0,7.5,4,3
Đống Đa,Nhà riêng,35.0,6.8,4,3
Hai Bà Trưng,Căn hộ chung cư,87.0,6.2,2,2
Tây Hồ,Nhà riêng,91.0,21.9,21,21
Đống Đa,Nhà mặt phố,90.0,32.5,2,2
Nam Từ Liêm,Nhà riêng,42.0,5.6,4,5
Ba Đình,Nhà mặt phố,104.0,39.4,3,4
Đống Đa,Nhà mặt phố,70.0,15.8,3,2
Bắc Từ Liêm,Căn hộ chung cư,58.0,3.8,2,1
Hoài Đức,Nhà riêng,37.0,3.15,2,1
Bắc Từ Liêm,Căn hộ chung cư,114.0,7.8,3,2
Hà Đông,Nhà riêng,32.0,2.49,3,3
Long Biên,Nhà riêng,72.0,14.0,6,6
Đống Đa,Căn hộ chung cư,53.0,699.0,2,1
Đống Đa,Nhà riêng,67.0,15.5,18,19
Cầu Giấy,Căn hộ chung cư,100.0,5.8,3,2
Tây Hồ,Nhà mặt phố,99.0,39.0,10,15
Nam Từ Liêm,Căn hộ chung cư,115.0,4.5,3,2
Hoàng Mai,Nhà riêng,32.0,5.95,3,4
Long Biên,Nhà riêng,90.0,29.5,7,7
Hoài Đức,Căn hộ chung cư,100.0,4.6,3,2
Thanh Xuân,Căn hộ chung cư,90.0,3.7,2,2
Hà Đông,Căn hộ chung cư,67.0,2.75,2,2
Hai Bà Trưng,Căn hộ chung cư,105.0,6.7,3,2
Nam Từ Liêm,Căn hộ chung cư,89.0,6.3,2,2
Thanh Xuân,Nhà riêng,45.0,8.5,5,4
Hoài Đức,Căn hộ chung cư,76.0,2.58,2,2
Cầu Giấy,Căn hộ chung cư,140.0,7.7,3,2
Hà Đông,Căn hộ chung cư,107.0,7.5,4,4
Cầu Giấy,Căn hộ chung cư,90.0,4.3,2,2
Đống Đa,Nhà mặt phố,42.0,32.0,4,6
Thanh Xuân,Căn hộ chung cư,99.0,6.1,3,2
Bắc Từ Liêm,Căn hộ chung cư,94.0,5.5,3,2
Hà Đông,Căn hộ chung cư,135.0,10.5,3,2
Bắc Từ Liêm,Căn hộ chung cư,54.0,656.0,2,1
Cầu Giấy,Căn hộ chung cư,59.0,4.0,1,1
Thanh Xuân,Căn hộ chung cư,94.0,6.3,3,2
Nam Từ Liêm,Căn hộ chung cư,43.0,2.1,1,1
Hoài Đức,Căn hộ chung cư,67.0,3.4,2,2
Thanh Xuân,Căn hộ chung cư,92.0,4.0,3,2
Long Biên,Nhà riêng,50.0,10.9,3,5
Nam Từ Liêm,Căn hộ chung cư,64.0,3.45,2,2
Nam Từ Liêm,Căn hộ chung cư,79.0,3.3,2,2
Thanh Xuân,Nhà mặt phố,362.0,22.0,4,5
Hai Bà Trưng,Nhà mặt phố,100.0,65.0,4,5
Nam Từ Liêm,Căn hộ chung cư,105.0,4.3,3,2
Thanh Xuân,Nhà mặt phố,46.0,11.6,4,3
Hà Đông,Căn hộ chung cư,55.0,2.4,2,2
Đông Anh,Căn hộ chung cư,85.0,3.0,3,2
Long Biên,Căn hộ chung cư,92.0,4.4,3,2
Thanh Xuân,Nhà mặt phố,70.0,42.5,4,8
Cầu Giấy,Căn hộ chung cư,100.0,6.3,3,2
Nam Từ Liêm,Căn hộ chung cư,108.0,3.74,3,2
Bắc Từ Liêm,Căn hộ chung cư,78.0,4.0,2,2
Cầu Giấy,Căn hộ chung cư,90.0,4.4,2,2
Long Biên,Nhà riêng,35.0,3.5,4,3
Nam Từ Liêm,Nhà riêng,30.0,4.5,3,4
Long Biên,Nhà riêng,31.0,3.45,3,3
Cầu Giấy,Căn hộ chung cư,99.0,8.0,3,2
Tây Hồ,Nhà riêng,55.0,12.0,5,4
Hà Đông,Căn hộ chung cư,50.0,1.8,2,1
Ba Đình,Nhà riêng,180.0,52.0,5,5
Nam Từ Liêm,Căn hộ chung cư,45.0,2.2,2,2
Đống Đa,Nhà riêng,34.0,3.85,4,3
Đống Đa,Căn hộ chung cư,105.0,3.45,4,2
Nam Từ Liêm,Nhà riêng,42.0,6.5,5,3
Long Biên,Nhà riêng,42.0,5.7,4,3
Hoàn Kiếm,Nhà mặt phố,230.0,155.0,40,40
Đống Đa,Nhà mặt phố,40.0,16.9,5,5
Ba Đình,Căn hộ chung cư,134.0,9.0,3,2
Hoàng Mai,Căn hộ chung cư,80.0,3.6,3,2
Nam Từ Liêm,Nhà riêng,30.0,8.1,11,11
Hoài Đức,Căn hộ chung cư,80.0,3.5,2,2
Hai Bà Trưng,Căn hộ chung cư,50.0,1.1,2,1
Hoài Đức,Nhà riêng,36.0,4.0,3,3
Cầu Giấy,Căn hộ chung cư,130.0,7.54,3,2
Đống Đa,Nhà riêng,42.0,5.7,4,3
Long Biên,Nhà riêng,130.0,17.5,6,4
Hoàng Mai,Căn hộ chung cư,46.0,1.56,2,1
Tây Hồ,Nhà mặt phố,295.0,120.0,1,1
Cầu Giấy,Căn hộ chung cư,96.0,4.5,2,2
Tây Hồ,Nhà riêng,70.0,10.0,2,2
Thanh Trì,Căn hộ chung cư,120.0,2.64,3,2
Tây Hồ,Nhà riêng,95.0,21.0,21,21
Long Biên,Căn hộ chung cư,95.0,4.0,2,2
Hà Đông,Nhà mặt phố,45.0,11.0,4,6
Long Biên,Nhà riêng,60.0,11.5,4,5
Ba Đình,Căn hộ chung cư,135.0,9.59,3,3
Long Biên,Căn hộ chung cư,120.0,5.4,3,3
Long Biên,Nhà riêng,80.0,12.5,4,4
Hà Đông,Nhà mặt phố,50.0,12.8,4,4
Cầu Giấy,Căn hộ chung cư,68.0,3.75,2,2
Đống Đa,Nhà riêng,61.0,16.0,5,7
Hà Đông,Nhà mặt phố,60.0,19.5,4,4
Hoàng Mai,Nhà mặt phố,75.0,13.9,4,4
Hoàng Mai,Căn hộ chung cư,67.0,2.08,2,20
Đông Anh,Nhà riêng,38.0,5.2,5,5
Ba Đình,Nhà mặt phố,80.0,31.5,6,5
Nam Từ Liêm,Căn hộ chung cư,93.0,6.0,3,2
Hà Đông,Nhà riêng,32.0,5.0,3,4
Long Biên,Nhà riêng,42.0,6.5,4,4
Hà Đông,Nhà riêng,36.0,6.75,5,4
Hà Đông,Nhà riêng,32.0,3.65,3,4
Thanh Oai,Nhà riêng,30.0,2.4,3,4
Hoàng Mai,Căn hộ chung cư,77.0,4.0,2,2
Cầu Giấy,Căn hộ chung cư,107.0,4.9,3,2
Đống Đa,Nhà riêng,44.0,5.5,4,4
Hà Đông,Nhà riêng,45.0,7.9,4,4
Cầu Giấy,Nhà riêng,80.0,25.9,5,6
Thanh Xuân,Căn hộ chung cư,118.0,7.45,3,2
Cầu Giấy,Căn hộ chung cư,102.0,6.0,3,2
Hoàng Mai,Căn hộ chung cư,53.0,2.15,2,2
Cầu Giấy,Căn hộ chung cư,144.0,7.35,3,3
Hà Đông,Căn hộ chung cư,91.0,3.28,3,2
Cầu Giấy,Căn hộ chung cư,110.0,5.5,3,2
Thanh Trì,Nhà riêng,33.0,2.75,3,3
Thanh Xuân,Căn hộ chung cư,90.0,4.32,3,2
Cầu Giấy,Căn hộ chung cư,105.0,5.0,3,2
Đống Đa,Căn hộ chung cư,146.0,7.5,4,2
Hà Đông,Nhà mặt phố,120.0,30.5,5,6
Hà Đông,Nhà riêng,52.0,10.0,4,3
Hai Bà Trưng,Nhà riêng,66.0,8.0,11,9
Thanh Xuân,Căn hộ chung cư,107.0,4.85,3,2
Đống Đa,Căn hộ chung cư,90.0,2.68,3,2
Ba Đình,Căn hộ chung cư,146.0,20.0,4,3
Ba Đình,Căn hộ chung cư,80.0,9.5,2,2
Thanh Xuân,Căn hộ chung cư,80.0,3.4,2,2
Đống Đa,Nhà riêng,42.0,4.85,4,4
Thanh Xuân,Căn hộ chung cư,69.0,4.3,2,2
Thanh Xuân,Căn hộ chung cư,71.0,3.5,2,2
Cầu Giấy,Căn hộ chung cư,142.0,7.0,3,2
Cầu Giấy,Căn hộ chung cư,152.0,9.73,3,2
Hoàng Mai,Căn hộ chung cư,100.0,5.0,3,2
Tây Hồ,Căn hộ chung cư,180.0,7.5,3,2
Đan Phượng,Căn hộ chung cư,79.0,2.6,2,2
Hoàng Mai,Căn hộ chung cư,61.0,2.65,2,2
Bắc Từ Liêm,Căn hộ chung cư,106.0,6.5,3,2
Bắc Từ Liêm,Căn hộ chung cư,100.0,6.3,3,2
Thanh Xuân,Căn hộ chung cư,135.0,6.7,3,2
Tây Hồ,Nhà riêng,91.0,21.9,21,21
Hà Đông,Nhà riêng,50.0,7.6,4,3
Thanh Xuân,Nhà riêng,51.0,7.5,3,3
Hà Đông,Căn hộ chung cư,92.0,4.42,2,2
Hai Bà Trưng,Nhà riêng,34.0,8.4,2,4
Gia Lâm,Căn hộ chung cư,98.0,4.2,3,2
Gia Lâm,Căn hộ chung cư,87.0,4.2,3,2
Thanh Xuân,Căn hộ chung cư,67.0,4.3,2,2
